id	Chr	start	end
10007	5	142000668	142013055
1001	16	68644835	68699067
10013	X	48801376	48824982
10038	14	20343613	20357904
10046	X	150363277	150514178
10049	7	157337015	157417439
10051	3	160399303	160434961
10057	3	183919935	184017960
10058	2	219209765	219218990
10059	12	32679199	32745650
10099	15	77044017	77071228
10112	5	138178727	138187715
10123	2	234493040	234497053
10131	16	3658036	3717597
10146	5	151771914	151805354
10150	13	97222288	97394120
10153	2	37201630	37231597
10165	7	96120219	96322147
1017	12	55966768	55972789
10174	8	22551737	22575495
10180	3	49940043	50077252
1019	12	57747726	57752447
10190	2	99319023	99336397
102	15	58595203	58749978
10206	13	49997006	50018467
1021	7	92604920	92836627
1022	5	69234794	69277430
10221	8	125430320	125438405
10227	4	2930560	2934859
10237	17	49700933	49707951
10245	X	48893446	48898143
1026	6	36676459	36687339
1027	12	12717269	12722382
10270	19	15353520	15379801
10273	16	680110	682768
10276	10	5412550	5459056
10285	10	110293039	110304949
1029	9	21967751	21994491
10298	19	39125779	39179406
10318	5	151029942	151087660
10320	7	50304082	50405100
10329	12	63779802	63809558
10362	19	3572944	3579083
10398	20	36541483	36549823
10434	8	54046366	54102017
10450	1	39738844	39763914
10451	1	107571159	107964923
10489	1	46278399	46303366
10491	3	33113957	33147773
10493	17	43014604	43022442
10494	2	241494706	241509572
1050	19	33299933	33302564
10513	17	60443148	60526240
1052	8	47736913	47738164
10523	19	16517888	16542452
10525	11	119044184	119057246
10557	10	15097179	15104257
10559	6	87472924	87512339
10589	11	65919256	65921577
10606	4	56435748	56461368
10610	17	76565378	76586063
10617	2	73828915	73867168
1062	4	103105805	103198409
10641	3	50347487	50351055
10644	3	185643130	185825056
10652	7	44200978	44214294
10668	14	54509868	54538616
10670	9	19049373	19051023
10681	15	52120925	52191368
10682	X	48521775	48528716
10695	6	42928001	42939287
1070	5	90393334	90409786
10730	10	27110110	27154420
10732	20	62841013	62861763
10765	1	202725184	202809470
10775	19	29606262	29617255
10776	15	52547044	52569446
10782	19	58182988	58213562
10797	2	74198562	74215297
10810	13	26557702	26688946
10813	X	129906120	129929762
10818	12	69470348	69579791
10845	15	65148219	65185420
10857	X	119236244	119244466
10892	18	58671385	58750139
10898	7	99438939	99457377
10904	20	37517416	37527931
10915	5	146447309	146511506
10921	16	2253115	2268412
10953	20	44942129	44960473
10954	3	123067008	123162106
10962	1	151059674	151068497
10969	1	43164173	43172570
10972	14	75131467	75176646
10973	6	100508194	100881372
11000	1	153774353	153780160
11004	1	44739817	44767766
11007	11	65890403	65891635
11011	17	62478767	62615480
11014	7	6461080	6484218
11031	18	9708230	9862556
11041	11	66345371	66347690
11044	5	6714604	6757048
11065	20	45812575	45816957
11072	17	37489844	37513486
11073	3	133600604	133661893
11098	11	86791058	86952903
1111	11	125625135	125676256
11137	12	107685731	107713162
11142	20	44531780	44619037
11151	16	30183409	30189076
11157	4	146175682	146190061
11168	9	15464065	15511019
11182	9	133471093	133479154
11188	3	52455507	52493072
11200	22	28687742	28741834
1123	2	174799313	175005379
11230	X	49071155	49074045
11232	17	64477784	64497066
11261	15	41231238	41281885
11284	19	49861202	49867565
11319	10	73134523	73168095
11325	17	63774188	63819317
11344	3	52228609	52239167
1153	19	1269265	1274809
116832	3	187120950	187139523
1212	5	176392454	176416569
1213	17	59619688	59696956
124583	17	78991715	79009817
1277	17	50184095	50201639
128	4	99070978	99088788
1282	13	110148957	110307157
1385	2	207529891	207605989
1398	17	1421352	1456267
1399	22	20917425	20953749
142	1	226360690	226408100
1429	1	74705487	74733408
1445	15	74782083	74803198
1452	5	149495893	149551552
1454	22	38290690	38318084
1459	16	58157907	58197878
1465	1	201483529	201507259
147179	17	40219321	40282187
148022	19	4815923	4831742
1500	11	57761761	57819180
1509	11	1752751	1763992
1514	9	87726058	87731469
1534	17	63432302	63446361
154	5	148826592	148828634
16	16	70252393	70289509
1605	3	49468702	49535618
1616	6	33318557	33323016
1633	4	70993547	71030912
1635	4	182890090	182917477
1643	11	47214941	47239218
1647	1	67685176	67688338
1662	11	108665024	108940930
1666	8	90001351	90053633
1676	1	10460545	10472556
1677	1	3857266	3885429
1738	7	107891106	107921198
1759	9	128203354	128255248
178	1	99850083	99924023
1786	19	10133343	10195135
1788	2	25232960	25342590
1802	1	43969980	43973371
1829	18	31498003	31549007
1831	X	107713221	107775988
1845	17	43766120	43779000
1846	8	29333061	29350750
1848	12	89347824	89352859
1861	9	129812941	129824162
1870	1	23506427	23531220
1891	19	38815421	38831857
1906	6	12290295	12297194
1950	4	109912883	110013079
1956	7	55019020	55208080
