"symbol"	"Chr"	"start"	"end"	"id"
"1"	"DFFB"	"1"	3773831	3801993	"1677"
"2"	"ICMT"	"1"	6281253	6296044	"23463"
"3"	"KLHL21"	"1"	6650784	6662958	"9903"
"4"	"CLSTN1"	"1"	9789079	9884584	"22883"
"5"	"DFFA"	"1"	10520603	10532613	"1676"
"6"	"SPEN"	"1"	16174359	16266950	"23013"
"7"	"SDHB"	"1"	17345225	17380665	"6390"
"8"	"AKR7A2"	"1"	19629202	19638640	"8574"
"9"	"RAP1GAP"	"1"	21922708	21995856	"5909"
"10"	"CDC42"	"1"	22379120	22419436	"998"
"11"	"EPHB2"	"1"	23037331	23247993	"2048"
"12"	"E2F2"	"1"	23832920	23857712	"1870"
"13"	"GALE"	"1"	24122089	24127294	"2582"
"14"	"CLIC4"	"1"	25071760	25170815	"25932"
"15"	"TMEM50A"	"1"	25664789	25688852	"23585"
"16"	"STMN1"	"1"	26210677	26233368	"3925"
"17"	"DHDDS"	"1"	26758773	26797795	"79947"
"18"	"RPS6KA1"	"1"	26856249	26901520	"6195"
"19"	"SFN"	"1"	27189633	27190947	"2810"
"20"	"WDTC1"	"1"	27561007	27635124	"23038"
"21"	"RPA2"	"1"	28218036	28241308	"6118"
"22"	"TXLNA"	"1"	32645345	32663886	"200081"
"23"	"TRAPPC3"	"1"	36602170	36621654	"27095"
"24"	"MYCBP"	"1"	39328162	39339050	"26292"
"25"	"MACF1"	"1"	39549839	39952810	"23499"
"26"	"PPIE"	"1"	40204517	40229586	"10450"
"27"	"FOXJ3"	"1"	42642210	42801548	"22887"
"28"	"EBNA1BP2"	"1"	43629845	43638241	"10969"
"29"	"CDC20"	"1"	43824626	43828873	"991"
"30"	"PTPRF"	"1"	43996547	44089343	"5792"
"31"	"IPO13"	"1"	44412478	44433694	"9670"
"32"	"DPH2"	"1"	44435653	44439043	"1802"
"33"	"ATP6V0B"	"1"	44440320	44443972	"533"
"34"	"KIF2C"	"1"	45205490	45233438	"11004"
"35"	"MAST2"	"1"	46269285	46501796	"23139"
"36"	"PIK3R3"	"1"	46505812	46642167	"8503"
"37"	"LRRC41"	"1"	46744072	46769038	"10489"
"38"	"MKNK1"	"1"	47023079	47069966	"8569"
"39"	"EFCAB14"	"1"	47140831	47184736	"9813"
"40"	"ORC1"	"1"	52838501	52870143	"4998"
"41"	"SCP2"	"1"	53392901	53517289	"6342"
"42"	"JUN"	"1"	59246463	59249785	"3725"
"43"	"USP1"	"1"	62901975	62917475	"7398"
"44"	"PGM1"	"1"	64058947	64125916	"5236"
"45"	"GADD45A"	"1"	68150860	68154021	"1647"
"46"	"CRYZ"	"1"	75171172	75199092	"1429"
"47"	"HS2ST1"	"1"	87380335	87575681	"9653"
"48"	"FAM69A"	"1"	93298286	93427079	"388650"
"49"	"MTF2"	"1"	93544792	93604638	"22823"
"50"	"DNTTIP2"	"1"	94335014	94344762	"30836"
"51"	"SNX7"	"1"	99127236	99226056	"51375"
"52"	"AGL"	"1"	100315640	100389579	"178"
"53"	"SLC35A3"	"1"	100435345	100492534	"23443"
"54"	"VAV3"	"1"	108113782	108507545	"10451"
"55"	"PSRC1"	"1"	109822176	109825790	"84722"
"56"	"GSTM2"	"1"	110210644	110226619	"2946"
"57"	"DENND2D"	"1"	111728591	111747160	"79961"
"58"	"NRAS"	"1"	115247085	115259515	"4893"
"59"	"CD58"	"1"	117057156	117113715	"965"
"60"	"PHGDH"	"1"	120254419	120286849	"26227"
"61"	"HIST2H2BE"	"1"	149856010	149858232	"8349"
"62"	"FAM63A"	"1"	150969301	150980854	NA
"63"	"PRUNE"	"1"	150980867	151008189	NA
"64"	"MLLT11"	"1"	151032151	151040973	"10962"
"65"	"VPS72"	"1"	151148776	151162689	"6944"
"66"	"PSMD4"	"1"	151227197	151239954	"5710"
"67"	"RFX5"	"1"	151313116	151319769	"5993"
"68"	"S100A4"	"1"	153516095	153518282	"6275"
"69"	"S100A13"	"1"	153591276	153606568	"6284"
"70"	"INTS3"	"1"	153700567	153746555	"65123"
"71"	"SLC27A3"	"1"	153747768	153752633	"11000"
"72"	"SHC1"	"1"	154934774	154946959	"6464"
"73"	"MUC1"	"1"	155158300	155162706	"4582"
"74"	"KIAA0907"	"1"	155882834	155904233	"22889"
"75"	"ARHGEF2"	"1"	155916630	155948336	"9181"
"76"	"NIT1"	"1"	161087862	161095235	"4817"
"77"	"PPOX"	"1"	161136181	161141010	"5498"
"78"	"ATF6"	"1"	161736034	161933860	"22926"
"79"	"TMCO1"	"1"	165693528	165738159	"54499"
"80"	"CREG1"	"1"	167510251	167523056	"8804"
"81"	"MPZL1"	"1"	167691187	167761156	"9019"
"82"	"MPC2"	"1"	167885913	167906307	"25874"
"83"	"ATP1B1"	"1"	169075947	169101960	"481"
"84"	"SCYL3"	"1"	169822215	169863100	"57147"
"85"	"FAM20B"	"1"	178995074	179045702	"9917"
"86"	"PTGS2"	"1"	186640944	186649559	"5743"
"87"	"PLA2G4A"	"1"	186798032	186958113	"5321"
